page,section,qnumb,question,isbn
34,1.B,2,"Suppose $a \in \mathbf{F}, v \in V$, and $a v=0$. Prove that $a=0$ or $v=0$.",978-3-319-11079-0
34,1.B,3,"Suppose $v, w \in V$. Explain why there exists a unique $x \in V$ such that $v+3 x=w$.",978-3-319-11079-0
34,1.B,4,The empty set is not a vector space. The empty set fails to satisfy only one of the requirements listed in 1.19. Which one?,978-3-319-11079-0
34,1.B,5,"Show that in the definition of a vector space (1.19), the additive inverse condition can be replaced with the condition that \[ 0 v=0 \text { for all } v \in V \text {. } \]  Here the $0$ on the left side is the number $0$, and the $0$ on the right side is the additive identity of $V$. (The phrase ""a condition can be replaced"" in a definition means that the collection of objects satisfying the definition is unchanged if the original condition is replaced with the new condition.)",978-3-319-11079-0
34,1.B,6,"Let $\infty$ and $-\infty$ denote two distinct objects, neither of which is in $\mathbf{R}$. Define an addition and scalar multiplication on $\mathbf{R} \cup\{\infty\} \cup\{-\infty\}$ as you could guess from the notation. Specifically, the sum and product of two real numbers is as usual, and for $t \in \mathbf{R}$ define \[ \begin{aligned} t \infty & =\left\{\begin{array}{ll} -\infty & \text { if } t<0, \\ 0 & \text { if } t=0, \\ \infty & \text { if } t>0, \end{array} \quad t(-\infty)=\left\{\begin{array}{ll} \infty & \text { if } t<0, \\ 0 & \text { if } t=0, \\ -\infty & \text { if } t>0, \end{array}\right.\right. \\ t+\infty & =\infty+t=\infty, \quad t+(-\infty)=(-\infty)+t=-\infty, \\ \infty+\infty & =\infty, \quad(-\infty)+(-\infty)=-\infty, \quad \infty+(-\infty)=0 . \end{aligned} \]  Is $\mathbf{R} \cup\{\infty\} \cup\{-\infty\}$ a vector space over $\mathbf{R}$ ? Explain.",978-3-319-11079-0
41,1.C,1,"For each of the following subsets of $\mathbf{F}^{3}$, determine whether it is a subspace of $\mathbf{F}^{3}$ : (a) $\left\{\left(x_{1}, x_{2}, x_{3}\right) \in \mathbf{F}^{3}: x_{1}+2 x_{2}+3 x_{3}=0\right\}$; (b) $\left\{\left(x_{1}, x_{2}, x_{3}\right) \in \mathbf{F}^{3}: x_{1}+2 x_{2}+3 x_{3}=4\right\}$; (c) $\quad\left\{\left(x_{1}, x_{2}, x_{3}\right) \in \mathbf{F}^{3}: x_{1} x_{2} x_{3}=0\right\}$; (d) $\quad\left\{\left(x_{1}, x_{2}, x_{3}\right) \in \mathbf{F}^{3}: x_{1}=5 x_{3}\right\}$.",978-3-319-11079-0
41,1.C,2,Verify all the assertions in Example 1.35.,978-3-319-11079-0
41,1.C,3,"Show that the set of differentiable real-valued functions $f$ on the interval $(-4,4)$ such that $f^{\prime}(-1)=3 f(2)$ is a subspace of $\mathbf{R}^{(-4,4)}$.",978-3-319-11079-0
41,1.C,4,"Suppose $b \in \mathbf{R}$. Show that the set of continuous real-valued functions $f$ on the interval $[0,1]$ such that $\int_{0}^{1} f=b$ is a subspace of $\mathbf{R}^{[0,1]}$ if and only if $b=0$.",978-3-319-11079-0
41,1.C,5,Is $\mathbf{R}^{2}$ a subspace of the complex vector space $\mathbf{C}^{2}$ ?,978-3-319-11079-0
41,1.C,6,"(a) Is $\left\{(a, b, c) \in \mathbf{R}^{3}: a^{3}=b^{3}\right\}$ a subspace of $\mathbf{R}^{3}$ ? (b) Is $\left\{(a, b, c) \in \mathbf{C}^{3}: a^{3}=b^{3}\right\}$ a subspace of $\mathbf{C}^{3}$ ?",978-3-319-11079-0
41,1.C,7,"Give an example of a nonempty subset $U$ of $\mathbf{R}^{2}$ such that $U$ is closed under addition and under taking additive inverses (meaning $-u \in U$ whenever $u \in U$ ), but $U$ is not a subspace of $\mathbf{R}^{2}$.",978-3-319-11079-0
41,1.C,8,"Give an example of a nonempty subset $U$ of $\mathbf{R}^{2}$ such that $U$ is closed under scalar multiplication, but $U$ is not a subspace of $\mathbf{R}^{2}$. SECTION 1.C Subspaces",978-3-319-11079-0
41,1.C,25,,978-3-319-11079-0
41,1.C,9,A function $f: \mathbf{R} \rightarrow \mathbf{R}$ is called periodic if there exists a positive number $p$ such that $f(x)=f(x+p)$ for all $x \in \mathbf{R}$. Is the set of periodic functions from $\mathbf{R}$ to $\mathbf{R}$ a subspace of $\mathbf{R}^{\mathbf{R}}$ ? Explain.,978-3-319-11079-0
41,1.C,10,Suppose $U_{1}$ and $U_{2}$ are subspaces of $V$. Prove that the intersection $U_{1} \cap U_{2}$ is a subspace of $V$.,978-3-319-11079-0
41,1.C,11,Prove that the intersection of every collection of subspaces of $V$ is a subspace of $V$.,978-3-319-11079-0
41,1.C,12,Prove that the union of two subspaces of $V$ is a subspace of $V$ if and only if one of the subspaces is contained in the other.,978-3-319-11079-0
41,1.C,13,"Prove that the union of three subspaces of $V$ is a subspace of $V$ if and only if one of the subspaces contains the other two. [This exercise is surprisingly harder than the previous exercise, possibly because this exercise is not true if we replace $\mathbf{F}$ with a field containing only two elements.]",978-3-319-11079-0
41,1.C,14,Verify the assertion in Example 1.38.,978-3-319-11079-0
41,1.C,15,Suppose $U$ is a subspace of $V$. What is $U+U$ ?,978-3-319-11079-0
41,1.C,16,"Is the operation of addition on the subspaces of $V$ commutative? In other words, if $U$ and $W$ are subspaces of $V$, is $U+W=W+U$ ?",978-3-319-11079-0
41,1.C,17,"Is the operation of addition on the subspaces of $V$ associative? In other words, if $U_{1}, U_{2}, U_{3}$ are subspaces of $V$, is \[ \left(U_{1}+U_{2}\right)+U_{3}=U_{1}+\left(U_{2}+U_{3}\right) ? \]",978-3-319-11079-0
41,1.C,18,Does the operation of addition on the subspaces of $V$ have an additive identity? Which subspaces have additive inverses?,978-3-319-11079-0
41,1.C,19,"Prove or give a counterexample: if $U_{1}, U_{2}, W$ are subspaces of $V$ such that \[ U_{1}+W=U_{2}+W \] then $U_{1}=U_{2}$.",978-3-319-11079-0
41,1.C,20,"Suppose \[ U=\left\{(x, x, y, y) \in \mathbf{F}^{4}: x, y \in \mathbf{F}\right\} . \]  Find a subspace $W$ of $\mathbf{F}^{4}$ such that $\mathbf{F}^{4}=U \oplus W$.",978-3-319-11079-0
41,1.C,26,CHAPTER $1$ Vector Spaces,978-3-319-11079-0
41,1.C,21,"Suppose \[ U=\left\{(x, y, x+y, x-y, 2 x) \in \mathbf{F}^{5}: x, y \in \mathbf{F}\right\} . \]  Find a subspace $W$ of $\mathbf{F}^{5}$ such that $\mathbf{F}^{5}=U \oplus W$.",978-3-319-11079-0
41,1.C,22,"Suppose \[ U=\left\{(x, y, x+y, x-y, 2 x) \in \mathbf{F}^{5}: x, y \in \mathbf{F}\right\} . \]  Find three subspaces $W_{1}, W_{2}, W_{3}$ of $\mathbf{F}^{5}$, none of which equals $\{0\}$, such that $\mathbf{F}^{5}=U \oplus W_{1} \oplus W_{2} \oplus W_{3}$.",978-3-319-11079-0
41,1.C,23,"Prove or give a counterexample: if $U_{1}, U_{2}, W$ are subspaces of $V$ such that \[ V=U_{1} \oplus W \quad \text { and } \quad V=U_{2} \oplus W, \] then $U_{1}=U_{2}$.",978-3-319-11079-0
41,1.C,24,A function $f: \mathbf{R} \rightarrow \mathbf{R}$ is called even if \[ f(-x)=f(x) \] for all $x \in \mathbf{R}$. A function $f: \mathbf{R} \rightarrow \mathbf{R}$ is called $\boldsymbol{o d d}$ if \[ f(-x)=-f(x) \] for all $x \in \mathbf{R}$. Let $U_{\mathrm{e}}$ denote the set of real-valued even functions on $\mathbf{R}$ and let $U_{\mathrm{o}}$ denote the set of real-valued odd functions on $\mathbf{R}$. Show that $\mathbf{R}^{\mathbf{R}}=U_{\mathrm{e}} \oplus U_{\mathrm{o}}$.,978-3-319-11079-0
54,2.A,1,"Suppose $v_{1}, v_{2}, v_{3}, v_{4}$ spans $V$. Prove that the list \[ v_{1}-v_{2}, v_{2}-v_{3}, v_{3}-v_{4}, v_{4} \] also spans $V$.",978-3-319-11079-0
54,2.A,2,Verify the assertions in Example 2.18.,978-3-319-11079-0
54,2.A,3,"Find a number $t$ such that \[ (3,1,4),(2,-3,5),(5,9, t) \] is not linearly independent in $\mathbf{R}^{3}$.",978-3-319-11079-0
54,2.A,4,Verify the assertion in the second bullet point in Example 2.20.,978-3-319-11079-0
54,2.A,5,"(a) Show that if we think of $\mathbf{C}$ as a vector space over $\mathbf{R}$, then the list $(1+i, 1-i)$ is linearly independent. (b) Show that if we think of $\mathbf{C}$ as a vector space over $\mathbf{C}$, then the list $(1+i, 1-i)$ is linearly dependent.",978-3-319-11079-0
54,2.A,6,"Suppose $v_{1}, v_{2}, v_{3}, v_{4}$ is linearly independent in $V$. Prove that the list \[ v_{1}-v_{2}, v_{2}-v_{3}, v_{3}-v_{4}, v_{4} \] is also linearly independent.",978-3-319-11079-0
54,2.A,7,"Prove or give a counterexample: If $v_{1}, v_{2}, \ldots, v_{m}$ is a linearly independent list of vectors in $V$, then \[ 5 v_{1}-4 v_{2}, v_{2}, v_{3}, \ldots, v_{m} \] is linearly independent.",978-3-319-11079-0
54,2.A,8,"Prove or give a counterexample: If $v_{1}, v_{2}, \ldots, v_{m}$ is a linearly independent list of vectors in $V$ and $\lambda \in \mathbf{F}$ with $\lambda \neq 0$, then $\lambda v_{1}, \lambda v_{2}, \ldots, \lambda v_{m}$ is linearly independent.",978-3-319-11079-0
54,2.A,9,"Prove or give a counterexample: If $v_{1}, \ldots, v_{m}$ and $w_{1}, \ldots, w_{m}$ are linearly independent lists of vectors in $V$, then $v_{1}+w_{1}, \ldots, v_{m}+w_{m}$ is linearly independent.",978-3-319-11079-0
54,2.A,10,"Suppose $v_{1}, \ldots, v_{m}$ is linearly independent in $V$ and $w \in V$. Prove that if $v_{1}+w, \ldots, v_{m}+w$ is linearly dependent, then $w \in \operatorname{span}\left(v_{1}, \ldots, v_{m}\right)$.",978-3-319-11079-0
54,2.A,38,CHAPTER $2$ Finite-Dimensional Vector Spaces,978-3-319-11079-0
54,2.A,11,"Suppose $v_{1}, \ldots, v_{m}$ is linearly independent in $V$ and $w \in V$. Show that $v_{1}, \ldots, v_{m}, w$ is linearly independent if and only if \[ w \notin \operatorname{span}\left(v_{1}, \ldots, v_{m}\right) \]",978-3-319-11079-0
54,2.A,12,Explain why there does not exist a list of six polynomials that is linearly independent in $\mathcal{P}_{4}(\mathbf{F})$.,978-3-319-11079-0
54,2.A,13,Explain why no list of four polynomials spans $\mathcal{P}_{4}(\mathbf{F})$.,978-3-319-11079-0
54,2.A,14,"Prove that $V$ is infinite-dimensional if and only if there is a sequence $v_{1}, v_{2}, \ldots$ of vectors in $V$ such that $v_{1}, \ldots, v_{m}$ is linearly independent for every positive integer $m$.",978-3-319-11079-0
54,2.A,15,Prove that $\mathbf{F}^{\infty}$ is infinite-dimensional.,978-3-319-11079-0
54,2.A,16,"Prove that the real vector space of all continuous real-valued functions on the interval $[0,1]$ is infinite-dimensional.",978-3-319-11079-0
54,2.A,17,"Suppose $p_{0}, p_{1}, \ldots, p_{m}$ are polynomials in $\mathcal{P}_{m}(\mathbf{F})$ such that $p_{j}(2)=0$ for each $j$. Prove that $p_{0}, p_{1}, \ldots, p_{m}$ is not linearly independent in $\mathcal{P}_{m}(\mathbf{F})$.",978-3-319-11079-0
60,2.B,1,Find all vector spaces that have exactly one basis.,978-3-319-11079-0
60,2.B,2,Verify all the assertions in Example 2.28.,978-3-319-11079-0
60,2.B,3,"(a) Let $U$ be the subspace of $\mathbf{R}^{5}$ defined by \[ U=\left\{\left(x_{1}, x_{2}, x_{3}, x_{4}, x_{5}\right) \in \mathbf{R}^{5}: x_{1}=3 x_{2} \text { and } x_{3}=7 x_{4}\right\} . \]  Find a basis of $U$. (b) Extend the basis in part (a) to a basis of $\mathbf{R}^{5}$. (c) Find a subspace $W$ of $\mathbf{R}^{5}$ such that $\mathbf{R}^{5}=U \oplus W$.",978-3-319-11079-0
60,2.B,4,"(a) Let $U$ be the subspace of $\mathbf{C}^{5}$ defined by \[ U=\left\{\left(z_{1}, z_{2}, z_{3}, z_{4}, z_{5}\right) \in \mathbf{C}^{5}: 6 z_{1}=z_{2} \text { and } z_{3}+2 z_{4}+3 z_{5}=0\right\} \]  Find a basis of $U$. (b) Extend the basis in part (a) to a basis of $\mathbf{C}^{5}$. (c) Find a subspace $W$ of $\mathbf{C}^{5}$ such that $\mathbf{C}^{5}=U \oplus W$.",978-3-319-11079-0
60,2.B,5,"Prove or disprove: there exists a basis $p_{0}, p_{1}, p_{2}, p_{3}$ of $\mathcal{P}_{3}(\mathbf{F})$ such that none of the polynomials $p_{0}, p_{1}, p_{2}, p_{3}$ has degree $2$.",978-3-319-11079-0
60,2.B,6,"Suppose $v_{1}, v_{2}, v_{3}, v_{4}$ is a basis of $V$. Prove that \[ v_{1}+v_{2}, v_{2}+v_{3}, v_{3}+v_{4}, v_{4} \] is also a basis of $V$.",978-3-319-11079-0
60,2.B,7,"Prove or give a counterexample: If $v_{1}, v_{2}, v_{3}, v_{4}$ is a basis of $V$ and $U$ is a subspace of $V$ such that $v_{1}, v_{2} \in U$ and $v_{3} \notin U$ and $v_{4} \notin U$, then $v_{1}, v_{2}$ is a basis of $U$.",978-3-319-11079-0
60,2.B,8,"Suppose $U$ and $W$ are subspaces of $V$ such that $V=U \oplus W$. Suppose also that $u_{1}, \ldots, u_{m}$ is a basis of $U$ and $w_{1}, \ldots, w_{n}$ is a basis of $W$. Prove that \[ u_{1}, \ldots, u_{m}, w_{1}, \ldots, w_{n} \] is a basis of $V$.",978-3-319-11079-0
65,2.C,1,Suppose $V$ is finite-dimensional and $U$ is a subspace of $V$ such that $\operatorname{dim} U=\operatorname{dim} V$. Prove that $U=V$.,978-3-319-11079-0
65,2.C,2,"Show that the subspaces of $\mathbf{R}^{2}$ are precisely $\{0\}, \mathbf{R}^{2}$, and all lines in $\mathbf{R}^{2}$ through the origin.",978-3-319-11079-0
65,2.C,3,"Show that the subspaces of $\mathbf{R}^{3}$ are precisely $\{0\}, \mathbf{R}^{3}$, all lines in $\mathbf{R}^{3}$ through the origin, and all planes in $\mathbf{R}^{3}$ through the origin.",978-3-319-11079-0
65,2.C,4,(a) Let $U=\left\{p \in \mathcal{P}_{4}(\mathbf{F}): p(6)=0\right\}$. Find a basis of $U$. (b) Extend the basis in part (a) to a basis of $\mathcal{P}_{4}(\mathbf{F})$. (c) Find a subspace $W$ of $\mathcal{P}_{4}(\mathbf{F})$ such that $\mathcal{P}_{4}(\mathbf{F})=U \oplus W$.,978-3-319-11079-0
65,2.C,5,(a) Let $U=\left\{p \in \mathcal{P}_{4}(\mathbf{R}): p^{\prime \prime}(6)=0\right\}$. Find a basis of $U$. (b) Extend the basis in part (a) to a basis of $\mathcal{P}_{4}(\mathbf{R})$. (c) Find a subspace $W$ of $\mathcal{P}_{4}(\mathbf{R})$ such that $\mathcal{P}_{4}(\mathbf{R})=U \oplus W$.,978-3-319-11079-0
65,2.C,6,(a) Let $U=\left\{p \in \mathcal{P}_{4}(\mathbf{F}): p(2)=p(5)\right\}$. Find a basis of $U$. (b) Extend the basis in part (a) to a basis of $\mathcal{P}_{4}(\mathbf{F})$. (c) Find a subspace $W$ of $\mathcal{P}_{4}(\mathbf{F})$ such that $\mathcal{P}_{4}(\mathbf{F})=U \oplus W$.,978-3-319-11079-0
65,2.C,7,(a) Let $U=\left\{p \in \mathcal{P}_{4}(\mathbf{F}): p(2)=p(5)=p(6)\right\}$. Find a basis of $U$. (b) Extend the basis in part (a) to a basis of $\mathcal{P}_{4}(\mathbf{F})$. (c) Find a subspace $W$ of $\mathcal{P}_{4}(\mathbf{F})$ such that $\mathcal{P}_{4}(\mathbf{F})=U \oplus W$.,978-3-319-11079-0
65,2.C,8,(a) Let $U=\left\{p \in \mathcal{P}_{4}(\mathbf{R}): \int_{-1}^{1} p=0\right\}$. Find a basis of $U$. (b) Extend the basis in part (a) to a basis of $\mathcal{P}_{4}(\mathbf{R})$. (c) Find a subspace $W$ of $\mathcal{P}_{4}(\mathbf{R})$ such that $\mathcal{P}_{4}(\mathbf{R})=U \oplus W$.,978-3-319-11079-0
65,2.C,9,"Suppose $v_{1}, \ldots, v_{m}$ is linearly independent in $V$ and $w \in V$. Prove that $\operatorname{dim} \operatorname{span}\left(v_{1}+w, \ldots, v_{m}+w\right) \geq m-1$.",978-3-319-11079-0
65,2.C,10,"Suppose $p_{0}, p_{1}, \ldots, p_{m} \in \mathcal{P}(\mathbf{F})$ are such that each $p_{j}$ has degree $j$. Prove that $p_{0}, p_{1}, \ldots, p_{m}$ is a basis of $\mathcal{P}_{m}(\mathbf{F})$.",978-3-319-11079-0
65,2.C,11,"Suppose that $U$ and $W$ are subspaces of $\mathbf{R}^{8}$ such that $\operatorname{dim} U=3$, $\operatorname{dim} W=5$, and $U+W=\mathbf{R}^{8}$. Prove that $\mathbf{R}^{8}=U \oplus W$. SECTION 2.C Dimension",978-3-319-11079-0
65,2.C,49,,978-3-319-11079-0
65,2.C,12,Suppose $U$ and $W$ are both five-dimensional subspaces of $\mathbf{R}^{9}$. Prove that $U \cap W \neq\{0\}$.,978-3-319-11079-0
65,2.C,13,Suppose $U$ and $W$ are both 4-dimensional subspaces of $\mathbf{C}^{6}$. Prove that there exist two vectors in $U \cap W$ such that neither of these vectors is a scalar multiple of the other.,978-3-319-11079-0
65,2.C,14,"Suppose $U_{1}, \ldots, U_{m}$ are finite-dimensional subspaces of $V$. Prove that $U_{1}+\cdots+U_{m}$ is finite-dimensional and \[ \operatorname{dim}\left(U_{1}+\cdots+U_{m}\right) \leq \operatorname{dim} U_{1}+\cdots+\operatorname{dim} U_{m} \]",978-3-319-11079-0
65,2.C,15,"Suppose $V$ is finite-dimensional, with $\operatorname{dim} V=n \geq 1$. Prove that there exist 1-dimensional subspaces $U_{1}, \ldots, U_{n}$ of $V$ such that \[ V=U_{1} \oplus \cdots \oplus U_{n} \]",978-3-319-11079-0
65,2.C,16,"Suppose $U_{1}, \ldots, U_{m}$ are finite-dimensional subspaces of $V$ such that $U_{1}+\cdots+U_{m}$ is a direct sum. Prove that $U_{1} \oplus \cdots \oplus U_{m}$ is finitedimensional and \[ \operatorname{dim} U_{1} \oplus \cdots \oplus U_{m}=\operatorname{dim} U_{1}+\cdots+\operatorname{dim} U_{m} \] [The exercise above deepens the analogy between direct sums of subspaces and disjoint unions of subsets. Specifically, compare this exercise to the following obvious statement: if a set is written as a disjoint union of finite subsets, then the number of elements in the set equals the sum of the numbers of elements in the disjoint subsets.]",978-3-319-11079-0
65,2.C,17,"You might guess, by analogy with the formula for the number of elements in the union of three subsets of a finite set, that if $U_{1}, U_{2}, U_{3}$ are subspaces of a finite-dimensional vector space, then \[ \begin{aligned} \operatorname{dim}\left(U_{1}+U_{2}\right. & \left.+U_{3}\right) \\ = & \operatorname{dim} U_{1}+\operatorname{dim} U_{2}+\operatorname{dim} U_{3} \\ & -\operatorname{dim}\left(U_{1} \cap U_{2}\right)-\operatorname{dim}\left(U_{1} \cap U_{3}\right)-\operatorname{dim}\left(U_{2} \cap U_{3}\right) \\ & +\operatorname{dim}\left(U_{1} \cap U_{2} \cap U_{3}\right) . \end{aligned} \]  Prove this or give a counterexample.",978-3-319-11079-0
73,3.A,1,"Suppose $b, c \in \mathbf{R}$. Define $T: \mathbf{R}^{3} \rightarrow \mathbf{R}^{2}$ by \[ T(x, y, z)=(2 x-4 y+3 z+b, 6 x+c x y z) . \]  Show that $T$ is linear if and only if $b=c=0$.",978-3-319-11079-0
73,3.A,2,"Suppose $b, c \in \mathbf{R}$. Define $T: \mathcal{P}(\mathbf{R}) \rightarrow \mathbf{R}^{2}$ by \[ T p=\left(3 p(4)+5 p^{\prime}(6)+b p(1) p(2), \int_{-1}^{2} x^{3} p(x) d x+c \sin p(0)\right) \text {. } \]  Show that $T$ is linear if and only if $b=c=0$.",978-3-319-11079-0
73,3.A,3,"Suppose $T \in \mathcal{L}\left(\mathbf{F}^{n}, \mathbf{F}^{m}\right)$. Show that there exist scalars $A_{j, k} \in \mathbf{F}$ for $j=1, \ldots, m$ and $k=1, \ldots, n$ such that \[ T\left(x_{1}, \ldots, x_{n}\right)=\left(A_{1,1} x_{1}+\cdots+A_{1, n} x_{n}, \ldots, A_{m, 1} x_{1}+\cdots+A_{m, n} x_{n}\right) \] for every $\left(x_{1}, \ldots, x_{n}\right) \in \mathbf{F}^{n}$. [The exercise above shows that $T$ has the form promised in the last item of Example 3.4.]",978-3-319-11079-0
73,3.A,4,"Suppose $T \in \mathcal{L}(V, W)$ and $v_{1}, \ldots, v_{m}$ is a list of vectors in $V$ such that $T v_{1}, \ldots, T v_{m}$ is a linearly independent list in $W$. Prove that $v_{1}, \ldots, v_{m}$ is linearly independent.",978-3-319-11079-0
73,3.A,5,Prove the assertion in 3.7.,978-3-319-11079-0
73,3.A,6,Prove the assertions in 3.9.,978-3-319-11079-0
73,3.A,58,CHAPTER $3$ Linear Maps,978-3-319-11079-0
73,3.A,7,"Show that every linear map from a 1-dimensional vector space to itself is multiplication by some scalar. More precisely, prove that if $\operatorname{dim} V=1$ and $T \in \mathcal{L}(V, V)$, then there exists $\lambda \in \mathbf{F}$ such that $T v=\lambda v$ for all $v \in V$.",978-3-319-11079-0
73,3.A,8,Give an example of a function $\varphi: \mathbf{R}^{2} \rightarrow \mathbf{R}$ such that \[ \varphi(a v)=a \varphi(v) \] for all $a \in \mathbf{R}$ and all $v \in \mathbf{R}^{2}$ but $\varphi$ is not linear. [The exercise above and the next exercise show that neither homogeneity nor additivity alone is enough to imply that a function is a linear map.],978-3-319-11079-0
73,3.A,9,"Give an example of a function $\varphi: \mathbf{C} \rightarrow \mathbf{C}$ such that \[ \varphi(w+z)=\varphi(w)+\varphi(z) \] for all $w, z \in \mathbf{C}$ but $\varphi$ is not linear. (Here $\mathbf{C}$ is thought of as a complex vector space.) [There also exists a function $\varphi: \mathbf{R} \rightarrow \mathbf{R}$ such that $\varphi$ satisfies the additivity condition above but $\varphi$ is not linear. However, showing the existence of such a function involves considerably more advanced tools.]",978-3-319-11079-0
73,3.A,10,"Suppose $U$ is a subspace of $V$ with $U \neq V$. Suppose $S \in \mathcal{L}(U, W)$ and $S \neq 0$ (which means that $S u \neq 0$ for some $u \in U$ ). Define $T: V \rightarrow W$ by \[ T v=\left\{\begin{array}{ll} S v & \text { if } v \in U, \\ 0 & \text { if } v \in V \text { and } v \notin U . \end{array}\right. \]  Prove that $T$ is not a linear map on $V$.",978-3-319-11079-0
73,3.A,11,"Suppose $V$ is finite-dimensional. Prove that every linear map on a subspace of $V$ can be extended to a linear map on $V$. In other words, show that if $U$ is a subspace of $V$ and $S \in \mathcal{L}(U, W)$, then there exists $T \in \mathcal{L}(V, W)$ such that $T u=S u$ for all $u \in U$.",978-3-319-11079-0
73,3.A,12,"Suppose $V$ is finite-dimensional with $\operatorname{dim} V>0$, and suppose $W$ is infinite-dimensional. Prove that $\mathcal{L}(V, W)$ is infinite-dimensional.",978-3-319-11079-0
73,3.A,13,"Suppose $v_{1}, \ldots, v_{m}$ is a linearly dependent list of vectors in $V$. Suppose also that $W \neq\{0\}$. Prove that there exist $w_{1}, \ldots, w_{m} \in W$ such that no $T \in \mathcal{L}(V, W)$ satisfies $T v_{k}=w_{k}$ for each $k=1, \ldots, m$.",978-3-319-11079-0
73,3.A,14,"Suppose $V$ is finite-dimensional with $\operatorname{dim} V \geq 2$. Prove that there exist $S, T \in \mathcal{L}(V, V)$ such that $S T \neq T S$.",978-3-319-11079-0
83,3.B,1,Give an example of a linear map $T$ such that $\operatorname{dim}$ null $T=3$ and dim range $T=2$.,978-3-319-11079-0
83,3.B,2,"Suppose $V$ is a vector space and $S, T \in \mathcal{L}(V, V)$ are such that \[ \text { range } S \subset \text { null } T \text {. } \]  Prove that $(S T)^{2}=0$.",978-3-319-11079-0
83,3.B,3,"Suppose $v_{1}, \ldots, v_{m}$ is a list of vectors in $V$. Define $T \in \mathcal{L}\left(\mathbf{F}^{m}, V\right)$ by \[ T\left(z_{1}, \ldots, z_{m}\right)=z_{1} v_{1}+\cdots+z_{m} v_{m} . \] (a) What property of $T$ corresponds to $v_{1}, \ldots, v_{m}$ spanning $V$ ? (b) What property of $T$ corresponds to $v_{1}, \ldots, v_{m}$ being linearly independent?",978-3-319-11079-0
83,3.B,4,"Show that \[ \left\{T \in \mathcal{L}\left(\mathbf{R}^{5}, \mathbf{R}^{4}\right): \operatorname{dim} \operatorname{null} T>2\right\} \] is not a subspace of $\mathcal{L}\left(\mathbf{R}^{5}, \mathbf{R}^{4}\right)$.",978-3-319-11079-0
83,3.B,5,Give an example of a linear map $T: \mathbf{R}^{4} \rightarrow \mathbf{R}^{4}$ such that \[ \text { range } T=\operatorname{null} T \text {. } \],978-3-319-11079-0
83,3.B,6,Prove that there does not exist a linear map $T: \mathbf{R}^{5} \rightarrow \mathbf{R}^{5}$ such that \[ \text { range } T=\operatorname{null} T \text {. } \],978-3-319-11079-0
83,3.B,7,"Suppose $V$ and $W$ are finite-dimensional with $2 \leq \operatorname{dim} V \leq \operatorname{dim} W$. Show that $\{T \in \mathcal{L}(V, W): T$ is not injective $\}$ is not a subspace of $\mathcal{L}(V, W)$.",978-3-319-11079-0
